Objective loss,KLD,Mutual loss
206.712,0.0304486,0.499614
206.622,0.0281697,0.495375
206.559,0.0264386,0.504551
206.427,0.0272755,0.499315
206.358,0.0239579,0.505626
206.266,0.0239253,0.498992
206.18,0.0219518,0.498188
206.194,0.0205151,0.501682
205.958,0.0219321,0.505049
205.942,0.0207976,0.499598
205.88,0.0195442,0.504237
205.739,0.020862,0.498839
205.743,0.0180298,0.502182
205.548,0.017984,0.498659
205.508,0.0175233,0.49715
205.408,0.0165287,0.501256
205.593,0.0156002,0.501888
205.32,0.0154905,0.501321
205.29,0.0153405,0.496182
205.141,0.0147775,0.49809
205.053,0.0143786,0.502286
204.912,0.0135965,0.496958
204.763,0.0133794,0.504136
204.426,0.0139315,0.50176
204.71,0.0123061,0.500373
204.526,0.0129848,0.50317
204.453,0.0126938,0.505561
204.479,0.0124026,0.497183
204.283,0.0117052,0.506433
204.126,0.0120903,0.50013
203.712,0.0116183,0.500771
203.953,0.0116831,0.501212
204.201,0.0111653,0.504991
203.972,0.0105183,0.49593
203.763,0.0108358,0.497698
203.693,0.0108444,0.495152
203.712,0.010044,0.497784
203.542,0.0102652,0.503153
203.327,0.0095163,0.501391
203.379,0.0098678,0.498914
203.451,0.00973167,0.498741
203.403,0.00923357,0.500106
203.025,0.00985558,0.498013
202.805,0.00898706,0.499519
202.783,0.00843946,0.503669
202.692,0.00878387,0.498849
202.683,0.00823244,0.500424
202.717,0.0089959,0.498017
202.287,0.00825263,0.499532
202.666,0.00786476,0.500985
202.408,0.00804027,0.498233
201.93,0.00820339,0.487301
201.725,0.00798681,0.495665
201.784,0.0078056,0.5023
201.955,0.0078651,0.501545
202.206,0.00751628,0.499927
202.101,0.00798454,0.501421
201.686,0.00765127,0.493271
201.724,0.00775888,0.495015
201.754,0.00774089,0.503323
201.655,0.00757476,0.500785
201.727,0.00741809,0.495066
201.143,0.00747103,0.497346
201.189,0.0072157,0.503062
201.454,0.0072718,0.499306
200.796,0.00735939,0.499622
201.214,0.0071016,0.497117
200.928,0.00711072,0.500287
200.341,0.00739001,0.495646
200.501,0.00731898,0.498001
200.999,0.00701833,0.502449
200.689,0.00718764,0.502861
200.814,0.00727736,0.496788
200.726,0.00726284,0.503682
199.738,0.00682842,0.496392
200.03,0.00675493,0.498707
199.806,0.00711752,0.497799
199.923,0.00650886,0.496739
199.302,0.00725731,0.498604
200.361,0.00661048,0.498624
200.066,0.00705718,0.501738
199.712,0.00692681,0.504002
199.701,0.00726439,0.5011
199.979,0.00705497,0.498309
199.424,0.00723826,0.502806
200.081,0.00687073,0.496515
198.603,0.0072888,0.49868
199.08,0.00687489,0.498676
198.667,0.00704071,0.494677
198.797,0.00695277,0.503189
199.405,0.00735666,0.501713
198.839,0.00700463,0.506956
198.361,0.00676626,0.501591
197.96,0.0069077,0.501196
198.06,0.00713914,0.50145
197.64,0.0075041,0.500358
197.543,0.00736341,0.500435
197.411,0.00759527,0.503469
198.053,0.00695857,0.501724
197.013,0.00700951,0.500416
198.278,0.00721089,0.502432
197.346,0.00702014,0.495757
197.915,0.00759812,0.499463
197.476,0.0073316,0.497461
198.222,0.00723069,0.500258
198.212,0.00782624,0.498334
196.925,0.00719525,0.500905
196.863,0.00737193,0.496577
197.335,0.00799897,0.506163
196.843,0.00754213,0.495333
196.885,0.00772037,0.501735
197.417,0.00793075,0.50247
196.462,0.00808638,0.498509
196.554,0.00831884,0.498683
196.111,0.00821029,0.498776
196.343,0.00821164,0.497256
195.559,0.00789076,0.499724
195.786,0.00831035,0.504931
196.247,0.00848716,0.50269
194.799,0.00802087,0.499021
194.404,0.00815507,0.502581
195.029,0.00814339,0.500057
194.346,0.00865028,0.498548
195.344,0.00924509,0.50663
195.742,0.00860702,0.493229
194.224,0.00902647,0.495835
193.785,0.00837309,0.499826
195.64,0.00910338,0.504093
194.844,0.00928229,0.497795
194.617,0.00987031,0.501473
193.184,0.00959053,0.498262
193.787,0.0096993,0.501275
194.719,0.0095,0.500629
193.0,0.00957358,0.499422
194.488,0.0101808,0.505315
192.292,0.00992854,0.499904
193.91,0.0107004,0.498832
193.424,0.0103319,0.498681
192.14,0.0102215,0.499258
193.169,0.0108501,0.496695
192.103,0.0108039,0.500719
192.71,0.0103161,0.501142
191.471,0.011051,0.50424
191.49,0.011073,0.502476
192.584,0.0109981,0.504034
191.145,0.0113346,0.497334
192.117,0.0111117,0.498538
191.629,0.011954,0.495996
192.142,0.011774,0.498547
189.371,0.0118047,0.492447
191.144,0.0118213,0.500632
190.927,0.012932,0.500538
189.527,0.0130116,0.499934
188.959,0.0122816,0.50439
192.267,0.012678,0.494209
190.466,0.0131698,0.499342
191.742,0.0132103,0.503579
190.281,0.0136424,0.5036
189.758,0.0134384,0.497642
189.409,0.014339,0.501169
189.768,0.0140245,0.497484
190.643,0.0147902,0.504532
190.533,0.0146554,0.500475
187.278,0.0141969,0.505265
188.932,0.0145001,0.49663
188.976,0.015461,0.499778
187.654,0.0163273,0.494334
186.443,0.0160706,0.500859
188.52,0.0151714,0.498636
188.435,0.0155065,0.499287
187.346,0.016729,0.499484
186.762,0.0155427,0.498042
187.103,0.0162227,0.506393
186.149,0.0169736,0.50202
185.795,0.0163125,0.502834
186.893,0.0174426,0.500907
185.604,0.017119,0.49727
185.813,0.0174026,0.492993
184.681,0.0185227,0.500663
186.385,0.0180443,0.500419
186.568,0.0182313,0.503033
