Objective loss,KLD
56.0123,0.0393493
67.5736,0.101239
61.9126,0.0562278
64.1485,0.028716
66.2704,0.0158599
62.4131,0.0102404
63.3911,0.0116735
60.8145,0.00453656
68.4864,0.00800781
59.8202,0.00292008
72.7621,0.0120012
63.0051,0.012194
63.629,0.0163759
64.0248,0.011147
70.8117,0.0097672
66.0529,0.0125775
63.4567,0.0120858
66.0065,0.0196476
68.8182,0.0150329
61.4286,0.0119716
70.752,0.0126951
67.8014,0.0160272
66.4244,0.0199861
65.3525,0.0230375
65.82,0.0159223
65.4624,0.0223087
71.4322,0.0214414
67.3536,0.00887955
62.7914,0.00488196
66.696,0.0101455
68.7217,0.00660352
67.6649,0.0101659
62.8936,0.010112
62.8748,0.0193924
71.9087,0.0338805
72.5673,0.032521
66.57,0.0161631
63.9291,0.00858227
64.1476,0.00905796
63.7206,0.0158376
62.5416,0.0168508
59.9738,0.021437
63.4353,0.0183673
65.9482,0.0136548
63.2228,0.00735988
68.2597,0.0107326
65.5946,0.0196177
67.0738,0.0192094
65.7215,0.0356397
67.7448,0.0167799
62.6418,0.0132162
68.1264,0.0121985
64.4097,0.00929943
66.9116,0.0132521
67.9064,0.0162731
58.8941,0.0157271
59.9877,0.056438
63.3284,0.0358751
65.3254,0.0218652
64.611,0.0148673
61.8287,0.00873074
69.8032,0.00754769
62.5049,0.00496718
61.5657,0.0070487
64.4229,0.0128814
65.8843,0.026194
63.932,0.0312946
64.9308,0.0244823
66.0871,0.0164687
64.5278,0.00881387
59.4594,0.00663779
59.7729,0.0117298
68.2923,0.0188913
65.6781,0.0134701
66.5171,0.0063435
65.5965,0.00500677
67.6243,0.0139525
63.8879,0.0220602
62.8638,0.0281228
61.6386,0.0219212
68.7386,0.028959
68.9783,0.00834194
60.2738,0.00616163
66.7787,0.00350858
62.6433,0.00376231
73.3672,0.0054084
67.5226,0.00453116
67.0153,0.00603691
64.7115,0.00567752
57.8802,0.0056047
62.4437,0.00803759
65.8269,0.016095
64.2214,0.0237735
69.7069,0.0248147
66.6282,0.0167042
64.5713,0.0260321
65.3556,0.033579
65.7933,0.0402879
68.0736,0.0342798
62.0252,0.00647275
