Objective loss,KLD
-32497.8,-0.0112195
-32497.9,-0.0107009
-32498.0,-0.0100063
-32498.1,-0.00950646
-32498.2,-0.00965146
-32498.3,-0.00849109
-32498.3,-0.00963254
-32498.4,-0.00880466
-32498.5,-0.00789791
-32498.7,-0.00788775
-32498.6,-0.00764805
-32498.8,-0.00742994
-32498.9,-0.00663487
-32499.0,-0.00696586
-32499.2,-0.006589
-32499.2,-0.00614255
-32499.1,-0.00562355
-32499.3,-0.00581412
-32499.4,-0.00545841
-32499.4,-0.00514598
-32499.6,-0.00487241
-32499.6,-0.0047931
-32499.9,-0.00463235
-32499.9,-0.00449236
-32500.2,-0.00423413
-32500.3,-0.00423078
-32500.3,-0.0040713
-32500.5,-0.00401341
-32500.5,-0.00393129
-32500.9,-0.00387504
-32500.8,-0.00414831
-32501.0,-0.00396145
-32501.0,-0.00370827
-32501.6,-0.00420489
-32501.7,-0.00423372
-32501.8,-0.00419298
-32502.4,-0.00428418
-32502.1,-0.0044276
-32503.1,-0.00487368
-32502.4,-0.00521701
-32504.2,-0.00596919
-32504.6,-0.00624307
-32507.4,-0.00692135
-32506.4,-0.00761728
-32508.9,-0.00883871
-32510.1,-0.010332
-32512.4,-0.0109336
-32515.8,-0.0127658
-32521.4,-0.0137268
-32526.9,-0.0157508
-32528.1,-0.0168014
-32539.6,-0.0203009
-32553.8,-0.0243282
-32565.0,-0.0274597
-32559.3,-0.0302152
-32575.9,-0.0349574
-32566.7,-0.0419508
-32569.9,-0.0294093
-32572.2,-0.0376411
-32569.1,-0.0287341
-32577.5,-0.0382969
-32571.1,-0.0304965
-32576.9,-0.0371479
-32576.5,-0.0322794
-32578.1,-0.0415864
-32571.1,-0.0312942
-32574.3,-0.0375718
-32576.1,-0.0274522
-32574.1,-0.036674
-32579.7,-0.0307768
-32569.4,-0.0451988
-32574.1,-0.03215
-32579.6,-0.0416385
-32571.8,-0.0283721
-32572.0,-0.0392323
-32573.2,-0.0274759
-32576.1,-0.0421487
-32579.1,-0.0264918
-32582.3,-0.0423054
-32573.0,-0.0280701
-32578.6,-0.0507684
-32584.7,-0.0264728
-32576.7,-0.0517482
-32583.2,-0.0273021
-32588.7,-0.0577492
-32579.2,-0.0294151
-32570.5,-0.124013
-32593.9,-0.0310123
-32579.1,-0.112526
-32587.2,-0.0531693
-32581.3,-0.441697
-32577.7,-0.385527
-32571.2,-8.75639
-32587.9,-0.415157
-32563.2,-2.61044
-32591.9,-0.289525
-32578.3,-1.97175
-32590.2,-0.481799
-32581.7,-5.4661
-32591.4,-1.03981
-32573.3,-4.78622
-32585.6,-0.622636
-32585.2,-4.29102
-32579.4,-1.24282
-32592.5,-6.6173
-32586.2,-2.24622
-32573.3,-3.79937
-32590.6,-0.880896
-32584.1,-1.51272
-32589.7,-1.25678
-32588.6,-1.65934
-32588.6,-1.10947
-32587.3,-1.39764
-32583.6,-1.83444
-32593.8,-3.14395
-32584.4,-3.35735
-32586.8,-4.11363
-32583.8,-4.13269
-32591.6,-5.27313
-32582.2,-4.14793
-32577.0,-5.83437
-32586.1,-3.13202
-32587.2,-2.37864
-32578.7,-2.44873
-32590.6,-2.25385
-32583.7,-2.46862
-32600.2,-1.91663
-32580.2,-5.05625
-32585.9,-6.34055
-32585.8,-4.21626
-32595.2,-7.04098
-32590.7,-1.70895
-32593.2,-1.41209
-32583.3,-0.800339
-32602.3,-0.318227
-32581.5,-2.05658
-32607.2,-0.950694
-32592.7,-5.51875
-32558.2,-30.4929
-32572.3,-25.9939
-32554.0,-40.2726
-32563.0,-39.2826
-32606.5,-0.592148
-32539.6,-4.57177
-32595.3,-0.845934
-32588.7,-2.46083
-32594.3,-0.531769
-32601.3,-0.451105
-32597.6,-0.242222
-32594.6,-0.680712
-32602.2,-1.17553
-32601.9,-1.12934
-32601.0,-2.22737
-32598.0,-4.12905
-32598.6,-2.23355
-32592.1,-10.5714
-32602.5,-5.71309
-32592.4,-9.76924
-32603.1,-4.04281
-32608.0,-4.71738
-32601.6,-1.93322
-32606.6,-3.96395
-32604.5,-1.45549
-32601.8,-2.86483
-32603.9,-0.97582
-32607.5,-0.851399
-32604.1,-1.99891
-32607.4,-1.6654
-32598.8,-1.09135
-32609.3,-2.40534
-32607.1,-0.800003
-32614.3,-2.82679
-32604.1,-4.91694
-32600.1,-9.51905
-32603.9,-4.43252
-32604.0,-10.0922
-32606.8,-6.53198
-32607.9,-5.46279
-32579.7,-22.8471
-32507.7,-108.269
-32583.2,-34.1242
-32565.4,-47.1507
-32611.8,-6.17688
-32600.4,-8.31881
-32582.6,-23.8748
-32574.7,-39.7099
-32612.3,-1.51511
-32601.1,-7.54366
-32609.4,-2.50137
-32599.3,-1.74956
-32620.1,-0.842021
-32604.6,-1.05806
-32610.7,-0.145397
-32622.8,-0.142405
-32614.0,-0.129051
-32617.8,-0.135026
-32617.4,-0.17388
-32616.7,-0.18248
-32611.7,-0.332785
-32614.2,-0.147004
