Objective loss,KLD
-32497.8,-0.010614
-32497.9,-0.0100019
-32498.0,-0.0096535
-32498.1,-0.00921534
-32498.2,-0.00911831
-32498.3,-0.00910009
-32498.5,-0.00834412
-32498.5,-0.00740824
-32498.6,-0.00814965
-32498.7,-0.00824282
-32498.7,-0.00778457
-32498.9,-0.00751851
-32499.2,-0.00752304
-32499.1,-0.00706203
-32499.2,-0.00711514
-32499.3,-0.00647588
-32499.5,-0.0063359
-32499.5,-0.0058629
-32499.6,-0.00549496
-32499.8,-0.00550797
-32499.9,-0.00521602
-32500.1,-0.00568562
-32500.2,-0.00515418
-32500.0,-0.00457181
-32500.5,-0.00449231
-32500.4,-0.00465652
-32500.6,-0.00403985
-32501.0,-0.00450894
-32500.7,-0.00446649
-32501.0,-0.00464126
-32501.1,-0.00410922
-32501.8,-0.00452155
-32502.0,-0.00416186
-32502.3,-0.0047884
-32502.0,-0.00450175
-32502.4,-0.00469432
-32502.8,-0.00467246
-32503.5,-0.00516624
-32502.9,-0.00524079
-32504.0,-0.00551017
-32504.3,-0.00614043
-32506.3,-0.00680221
-32507.0,-0.00796012
-32508.1,-0.00758206
-32510.1,-0.00936575
-32511.5,-0.0104049
-32514.6,-0.0128088
-32519.4,-0.013105
-32523.3,-0.0154447
-32531.9,-0.0172027
-32536.8,-0.0198905
-32543.2,-0.024835
-32555.1,-0.0266028
-32567.2,-0.0288425
-32577.0,-0.0370298
-32578.7,-0.0434448
-32587.2,-0.0525489
-32589.6,-0.0727246
-32592.9,-0.065986
-32586.7,-0.0781701
-32591.0,-0.0549957
-32578.6,-0.0684208
-32590.8,-0.0542531
-32589.5,-0.0656397
-32586.5,-0.0514747
-32587.8,-0.0678087
-32594.2,-0.0501558
-32592.2,-0.0704612
-32594.2,-0.0474431
-32597.8,-0.061573
-32588.7,-0.0472302
-32585.7,-0.0595637
-32586.6,-0.0402752
-32593.3,-0.0533043
-32588.6,-0.0392889
-32583.4,-0.052436
-32587.3,-0.033566
-32597.1,-0.0510954
-32599.4,-0.0338612
-32588.5,-0.054086
-32598.5,-0.0299067
-32593.9,-0.0546774
-32599.2,-0.0293212
-32600.2,-0.0515173
-32595.2,-0.0377453
-32593.7,-0.108226
-32608.5,-0.103795
-32597.6,-0.229371
-32594.6,-0.496685
-32598.4,-3.17355
-32605.3,-2.21656
-32596.3,-2.1433
-32597.1,-0.634738
-32588.4,-0.74433
-32598.2,-0.212043
-32606.7,-0.984699
-32601.0,-2.5749
-32604.9,-2.78053
-32606.0,-1.64613
-32598.0,-1.44176
-32604.4,-0.86431
-32596.3,-0.605647
-32608.4,-0.71003
-32604.6,-0.960127
-32595.3,-3.78257
-32605.1,-3.40782
-32592.7,-4.72802
-32600.6,-2.59805
-32593.3,-4.27342
-32597.1,-1.95601
-32599.5,-3.95715
-32611.3,-1.71348
-32596.1,-6.17623
-32606.8,-4.60943
-32592.1,-5.49445
-32593.4,-6.96576
-32597.3,-6.33982
-32606.8,-6.07086
-32601.6,-2.57676
-32609.7,-2.28189
-32593.1,-2.29732
-32607.8,-1.31569
-32595.4,-2.80675
-32607.4,-1.76409
-32593.0,-5.31034
-32608.6,-5.68697
-32604.4,-5.04804
-32604.4,-8.83599
-32604.5,-1.9107
-32610.9,-3.92575
-32599.4,-3.39919
-32610.7,-2.5902
-32589.7,-2.97038
-32619.9,-3.45978
-32606.3,-2.23689
-32609.3,-8.85738
-32599.6,-2.52073
-32601.5,-6.47397
-32610.5,-1.92024
-32609.1,-2.65107
-32602.8,-2.20619
-32610.3,-3.22823
-32606.9,-2.50593
-32608.1,-8.78081
-32612.8,-2.17137
-32607.8,-8.71036
-32606.2,-1.74193
-32611.0,-4.96756
-32610.0,-1.65146
-32615.5,-1.7373
-32610.7,-2.09253
-32612.3,-3.24666
-32614.2,-2.32167
-32610.0,-7.4022
-32615.4,-1.33913
-32613.7,-5.7758
-32609.5,-1.66434
-32612.7,-6.00717
-32620.7,-2.29095
-32617.4,-5.73562
-32619.1,-1.76392
-32618.5,-5.12679
-32619.7,-1.00521
-32614.4,-2.5468
-32620.1,-1.0482
